Project_ID,Task_ID,Phase,Material_Cost,Labor_Cost,Material_Supply_Risk,Supplier_Reliability,Delay_Days,Weather_Risk,Change_Orders,Project_Completed,Final_Cost
1102,45,Landscaping,47764.073881876626,17726.83542650968,0.775983169612471,0.8141445656479107,27,0.12067117777600896,4,0,86990.9093083863
1435,5,Landscaping,14132.136540870599,59706.74419595815,0.31743238181102396,0.7318376756472986,12,0.2774235935468371,0,1,79838.88073682875
1860,33,Finishing,30449.748421464818,53618.593450894434,0.2529158915538552,0.8594070495258086,16,0.7243769107041239,3,0,98068.34187235925
1270,1,Foundation,49084.10217652476,38296.07439459035,0.6937619814022271,0.8187333038981293,26,0.26094018583110357,4,0,108380.17657111511
1106,18,Landscaping,12438.234993657854,45705.135146206754,0.36683051951028944,0.8839455733309054,7,0.1640507220231725,3,1,67643.37013986461
1071,32,Structure,36511.338175003446,30278.9613212172,0.5648907154375642,0.9416806656310714,25,0.4795625438756187,3,0,85290.29949622064
1700,47,Planning,31361.456568735586,41362.527315298445,0.016132321605940823,0.7899006051524472,19,0.1079753877876148,1,0,84223.98388403404
1020,49,Planning,31391.559148491815,42933.722183878475,0.07064798764686574,0.9886306312495082,2,0.16781292354106653,4,1,83325.28133237029
1614,11,Planning,36395.17823840338,35170.42262657623,0.5346605823580182,0.8606903501762724,11,0.7461006956503801,0,1,77065.60086497961
1121,21,Foundation,46832.76152940579,68927.19369369058,0.5647502135192018,0.8854872396264364,6,0.7171786758876851,0,0,118759.95522309637
1466,26,Finishing,40216.187293310206,11044.0212237654,0.7464238855701567,0.904201711967721,11,0.8321110563239168,4,0,64760.2085170756
1214,25,Landscaping,7526.12465372945,60841.132100931005,0.13932601323148253,0.900019458957277,1,0.7836123487285996,1,0,70867.25675466046
1330,22,Structure,43372.76089440701,18084.88403068608,0.5129194220816432,0.8532912229135186,23,0.6465404505918545,1,1,74957.64492509309
1458,27,Structure,15149.359846657968,61840.57843491797,0.20055869154305483,0.828629287334405,13,0.1418662858405303,1,0,85489.93828157593
1087,49,Foundation,21961.137413136737,50034.27451898688,0.10133219717144079,0.7161345892532134,21,0.726278894389326,0,1,82495.41193212362
1372,13,Planning,25777.9766125572,64813.07591086615,0.4122858781793435,0.7066257535903538,22,0.7764086486724484,3,1,107591.05252342335
1099,33,Foundation,26640.770033888133,16338.431166658334,0.1700699151272761,0.8073883583598294,29,0.7392657166175636,1,0,59479.201200546464
1871,34,Finishing,24583.117966491056,46333.741216485316,0.22734633862847223,0.8000982671901078,4,0.5067832282464209,0,1,72916.85918297638
1663,41,Finishing,47180.8982397139,42570.71221704281,0.3212034882721117,0.816308546451702,8,0.2863214709195854,0,0,93751.61045675671
1130,35,Landscaping,36770.85534488111,55902.55689261831,0.26420063272833233,0.741510460266457,20,0.7762639805509813,3,0,108673.41223749942
1661,1,Landscaping,33402.67906805179,44728.885873088926,0.09583947145782747,0.9214504811610531,10,0.6817302477921108,4,1,91131.5649411407
1308,21,Finishing,7242.89125023237,45147.74686365177,0.09811791996250824,0.9570893244328718,4,0.8846089395110813,4,1,62390.638113884146
1769,48,Finishing,45676.09986171686,37923.736332444205,0.1993844269294848,0.9816143906122106,2,0.22455407820474635,1,1,86599.83619416106
1343,6,Finishing,45922.55864037783,30074.237560477155,0.05954800420034818,0.8477086910558878,26,0.28053166644164407,1,1,90996.79620085498
1491,28,Foundation,40109.587854354606,41347.183481392494,0.6239278792833886,0.9102597097376286,16,0.2694385199052022,3,1,95456.7713357471
1413,17,Finishing,5316.314171612862,17702.003319946038,0.29158018217872395,0.9566653370307617,1,0.7340318140970694,1,1,25518.3174915589
1805,5,Structure,7577.611298493051,72498.36703390052,0.2841510484136896,0.8254873333280457,23,0.24952583716009455,3,0,97575.97833239357
1385,31,Planning,15135.066602082039,56436.69963572889,0.3353583283530099,0.7928238384611332,0,0.15332786385864489,0,0,71571.76623781092
1191,5,Finishing,10910.7233665208,71910.36258471003,0.6595403487255272,0.9810173667560471,6,0.8988486452685029,1,0,87821.08595123084
1955,38,Planning,22947.621336667824,24737.27985144761,0.8632212038538207,0.854702965323122,29,0.11985376915611932,0,1,62184.90118811543
1276,3,Foundation,46518.03761395053,67157.16631147431,0.7539051939045256,0.8491761659772634,13,0.7681952481270925,2,1,124175.20392542484
1160,23,Planning,26242.719538864923,62571.34899663,0.7229786456205931,0.7535248289690487,4,0.3922934732405222,3,1,96814.06853549492
1459,37,Foundation,5603.118189447452,54014.90680974879,0.4847033618888323,0.732446504372007,18,0.7732923678062522,2,0,72618.02499919623
1313,37,Structure,17723.55603104429,50626.89709553837,0.6899294458280635,0.9526320587450534,27,0.543696392968916,1,0,83850.45312658267
1021,10,Foundation,7006.770876783269,30575.728242411547,0.5517071206729115,0.8842399528562555,27,0.8213049835890881,0,1,51082.499119194814
1252,10,Foundation,6632.943017607597,63066.701022727,0.22192551762279833,0.7977473752058346,10,0.8409543891317014,1,1,76699.64404033459
1747,19,Landscaping,17407.39338929985,42598.5049961827,0.2144166003862297,0.75752086521708,22,0.10727854502462081,2,1,75005.89838548255
1856,17,Finishing,17402.555240552545,14607.952432933549,0.30046416673777776,0.8666491840508894,24,0.16032974079423062,1,1,46010.50767348609
1560,21,Finishing,40420.69711707218,30336.10545558345,0.902586617550417,0.8751757867783406,1,0.3002869836566844,4,0,79256.80257265564
1474,14,Structure,48867.559375150035,70794.3114054463,0.5464665435721313,0.7620980803735175,7,0.6354523330908013,2,0,127161.87078059633
1058,9,Structure,21704.319225049923,65294.216939315,0.729227269461832,0.9554217243674421,8,0.8106177572092048,1,0,92998.53616436492
1510,46,Finishing,24299.90954874674,73823.87037497504,0.34962758462021665,0.7252793098467553,26,0.4679535610351703,0,1,111123.77992372178
1681,1,Landscaping,43015.52463287096,50819.56986926638,0.4095614552519207,0.8068279255499264,2,0.5855784930194123,1,0,96835.09450213733
1475,45,Finishing,17066.2559042981,26088.15475412678,0.13305426706450635,0.9041153241287566,1,0.2507998822364489,0,1,43654.41065842488
1699,13,Landscaping,12037.181198155158,20582.978228996144,0.17786905866523697,0.7822361091457601,6,0.7439734671053483,4,1,43620.1594271513
1975,4,Structure,43389.03305316427,22149.438639550004,0.8208094237296226,0.9483025584343816,4,0.8738624890827759,1,1,69538.47169271427
1782,1,Planning,7092.526389802947,11286.717792571535,0.5831418590551044,0.921960347980121,20,0.314879146331678,4,0,36379.24418237448
1189,49,Structure,32886.47480897371,35394.337214086045,0.34078181656614254,0.9367068533644403,25,0.4958607612804371,2,0,84780.81202305976
1957,40,Structure,30289.678136006303,22442.799232470265,0.796794184815635,0.7357319607630148,4,0.16889288840509903,0,1,54732.47736847657
1686,32,Foundation,20566.420137576242,36757.60492968566,0.2515895075252233,0.7421641383986628,19,0.5473093251703748,2,0,70824.0250672619
1957,34,Foundation,19183.528449381156,70774.63806951974,0.9665120446281997,0.785942121323375,12,0.5022267534773445,0,1,95958.16651890089
1562,28,Foundation,39733.597678172955,37985.11361796735,0.34792125559124637,0.8554231495592683,20,0.21554918732406209,4,1,95718.7112961403
1875,31,Foundation,8889.10748431459,67068.99230401426,0.340564735068203,0.9244048230098207,28,0.4536529704944601,3,1,95958.09978832885
1566,8,Landscaping,15655.293919012342,49357.80983003197,0.31567366742597114,0.950959267228271,19,0.3672837216692506,1,0,76513.10374904431
1243,39,Finishing,37960.19293271404,26063.551052990475,0.12966928560580218,0.9113005947871542,28,0.5174647002441515,4,0,86023.74398570451
1831,26,Planning,29674.42626768909,33130.559351848744,0.11891440438537215,0.9785790644591915,5,0.5685234683430394,0,1,65304.98561953784
1504,34,Structure,10759.469384011387,15454.769828392913,0.6451429338434409,0.9216230528847791,19,0.1067964628857676,0,0,35714.239212404296
1130,3,Landscaping,44696.102642692706,31675.06858374068,0.867615683666886,0.7918803661013843,17,0.7088047863596443,0,0,84871.17122643339
1484,12,Planning,22705.15309536162,54040.161457729715,0.78471010006624,0.7795243853015718,24,0.6704114334893927,0,0,88745.31455309133
1818,1,Landscaping,42254.07688949778,14687.221040413286,0.14828544214092407,0.908857735090327,1,0.3930291089652178,1,0,59441.29792991107
1646,44,Landscaping,40447.08569874689,23351.091551071906,0.5446704793562251,0.7578611706068843,24,0.14234874845505463,2,1,79798.1772498188
1020,5,Structure,33099.145091227765,34793.667691865245,0.11347971505710719,0.727814443243081,25,0.7039460318280403,3,0,86392.81278309302
1840,30,Finishing,27251.650908279185,73833.21990603756,0.054388750740815894,0.8596668624568582,5,0.864140128382506,1,1,105584.87081431675
1166,30,Foundation,49079.78781717906,61016.01849232721,0.6532581421970719,0.9464924709336866,8,0.29212127681761135,0,1,114095.80630950627
1273,17,Finishing,11523.428257091768,57676.63852198675,0.5344492870067433,0.730413952740959,24,0.3588196909896303,1,0,83200.06677907852
1387,48,Structure,37632.00773980017,17552.41217415399,0.09038321150724143,0.9375673971387187,2,0.247050311585452,4,1,64184.41991395416
1600,47,Structure,13603.581565915505,60764.73308497445,0.04424046147786868,0.9434716013054645,0,0.5615488986758718,0,1,74368.31465088995
1315,23,Structure,20221.839739955678,61042.47274854098,0.9799612851411479,0.844682200024463,0,0.22387311571796398,3,0,87264.31248849665
1013,15,Planning,18891.443451793784,49071.67521558134,0.03942090550609044,0.717193093003146,18,0.3849551547691036,0,1,76963.11866737512
1241,37,Finishing,47616.619448242534,74373.51582989417,0.44563768798915643,0.7523769553741559,4,0.6576104111474104,3,1,129990.1352781367
1776,21,Finishing,48531.02800047238,31141.503885095877,0.5045266441155416,0.9122278825485797,12,0.5480927864074787,3,0,91672.53188556826
1345,14,Landscaping,13235.694990562723,71182.70913572036,0.12493454484443614,0.9135333834972849,18,0.4091700514623482,2,0,97418.40412628309
1564,2,Landscaping,5991.582213387688,69457.52247217274,0.17568054287092194,0.9695065825502995,11,0.4361996814460335,2,0,84949.10468556044
1897,11,Landscaping,37400.36178484009,10746.24288370956,0.35476890628214547,0.8748058439663748,15,0.5496887060985837,1,0,57646.60466854965
1339,39,Structure,23809.547024171796,39257.57422086272,0.7564423586893894,0.7372322103141332,24,0.10469178230972905,1,0,77067.12124503452
1091,38,Finishing,8997.811028940398,73511.77514835226,0.5069407755790614,0.7364244716514916,24,0.16280789476288787,3,1,100509.58617729266
1366,34,Structure,35768.93475096692,16702.888556524926,0.6351438370619024,0.9163397072070472,18,0.8050064542104093,0,1,61471.82330749184
1955,38,Planning,29529.748771731487,45606.005134915766,0.9754710639888613,0.7551353995323703,2,0.1623031912730326,4,0,84135.75390664725
1454,34,Landscaping,49123.25699004977,73632.23795767176,0.7626453266069454,0.7985156498849816,11,0.6654428769684041,4,0,136255.49494772154
1427,18,Structure,15233.427313762051,46107.20256688091,0.4356742681783934,0.8461636020765742,29,0.8360305312872421,0,1,75840.62988064295
1508,30,Structure,23179.00443469467,22337.99469319014,0.44751308336061774,0.7074294632728453,4,0.31654688344138493,0,0,47516.99912788481
1775,15,Planning,29414.56115279403,47841.90995601833,0.6163966355001849,0.7746457081059795,1,0.3963931496476114,2,0,81756.47110881236
1942,27,Foundation,40626.499480400824,23288.637306720542,0.6620579042505262,0.822366882552184,21,0.555137124675773,4,1,82415.13678712136
1034,34,Finishing,29697.739552402643,43780.777088141476,0.5006967073199379,0.7838908955479619,6,0.8053671757108678,3,1,82478.51664054411
1205,38,Foundation,32580.507238787715,14812.74416430262,0.6419639983586803,0.7409110982402697,12,0.8535244698083362,1,1,55393.25140309033
1080,33,Landscaping,15176.617321547334,49356.3734989363,0.03306184452581679,0.9184036773388592,24,0.6916505984890144,2,0,80532.99082048362
1931,24,Structure,43111.342763985194,43591.34604333028,0.43103040661890724,0.9439442965503955,14,0.1692958086837552,4,1,101702.68880731548
1561,15,Planning,24288.37461367141,58110.4889694951,0.28335931455200725,0.7772436928431175,21,0.6353233244278806,0,0,92898.8635831665
1871,30,Planning,11343.183238479618,50995.53062532103,0.1365909563382482,0.932325848381891,2,0.4282429774981297,4,1,71338.71386380064
1387,42,Finishing,34888.456152743776,45724.40745449918,0.10755558255259963,0.8156660693203941,27,0.47656079959284925,3,0,100112.86360724297
1001,17,Foundation,14724.070393338838,54835.62520112788,0.6011283223023741,0.8520057372562009,20,0.13931871227614165,2,0,83559.69559446671
1389,5,Finishing,9390.312960768488,19356.224382195003,0.5231285362095595,0.9568003224679458,19,0.25284971147708657,0,0,38246.53734296349
1565,29,Structure,43789.410878192255,48698.377981809266,0.2585124346564418,0.9249861045407224,4,0.7324108860269182,3,1,100487.78886000151
1105,4,Finishing,25707.301901979787,21187.18918348055,0.4715310575970642,0.9415350553948533,23,0.46316706643828787,1,1,60394.49108546034
1771,10,Planning,38717.767071309936,70158.94351037225,0.4923876688787601,0.741053549975907,7,0.3413297933049191,2,1,116376.71058168219
1821,17,Planning,18076.44019128598,14441.716814964273,0.2011088008298435,0.7209158277501188,21,0.40721525917196655,3,0,49018.15700625025
1476,10,Landscaping,40413.65607129499,37974.35872990156,0.6490512006440176,0.9680214187263961,0,0.7835196106605442,3,1,84388.01480119655
1702,17,Landscaping,10037.116715968865,55226.836047603916,0.7753009692583687,0.8163502808713283,7,0.6991992139239656,0,1,68763.95276357277
1401,20,Structure,21018.80182076837,39771.44375843681,0.7856342700717286,0.7863639034209042,23,0.3178523177448662,1,0,74290.24557920519
1729,24,Foundation,49012.78180880878,15986.191460138652,0.600420434089386,0.9174088762785473,17,0.19400147216989866,3,0,79498.97326894743
1555,5,Finishing,40729.537236560274,45969.63604823598,0.5114058108686338,0.9509246789739569,19,0.3015985773152574,2,1,100199.17328479626
1161,34,Structure,27376.516864160967,51706.07407377804,0.06978700014528699,0.9587468865694903,27,0.836605160843787,3,1,98582.590937939
1201,6,Landscaping,20289.98622028483,55746.500214383,0.2920746728745737,0.7947991423375682,15,0.5652710702798043,4,1,91536.48643466784
1957,2,Finishing,44246.10650101145,34261.88794007933,0.1014060178426065,0.9556637173605023,17,0.5267841669958263,2,0,91007.99444109078
1995,13,Landscaping,29518.149158803204,46637.898116869546,0.9545466976609042,0.7122801833123036,19,0.5771148797539692,2,1,89656.04727567275
1269,43,Finishing,39129.12580411,39294.62087102936,0.1423785433012455,0.7148984474379156,11,0.3928226125972122,3,0,89923.74667513935
1862,43,Foundation,38934.84561422738,53683.64251889647,0.15873990165408003,0.8870557585522463,12,0.7456856162556103,0,0,98618.48813312384
1815,48,Structure,5807.5555355821325,47931.2028761132,0.8817850859638823,0.7189319107346638,12,0.5186289994401999,2,1,63738.75841169534
1270,11,Finishing,10681.420225667605,44174.15427134377,0.9350497178069287,0.7973827505530484,9,0.19339832221503644,4,1,67355.57449701137
